wage,school,age
28.8888863124,15,47
15.599998569,10.5,47
12.7272731963,14.5,47
25.8181848422,18,47
33.9999995636,18,46
7.7777782338,10.5,46
14.0000009552,13.5,46
21.7499984356,13.5,45
15.8000010114,18,44
20.5999977389,18,44
8.9743585572,10.5,44
13.5340002875,18,41
23.6734706568,11,41
13.1428565348,9,40
24.0000006132,18,40
16.8000010062,11,40
22.6190460164,18,39
10.8475010583,10.5,39
14.3750005837,10.5,38
12.500000728,12,38
15.5555564972,18,37
18.7951794687,11.5,36
16.6177759908,15,35
10.8574989166,11.5,35
20.0000006776,18,33
5.7777777775,10.5,27
9.2666667441,14.5,25
10.3370779083,10.5,47
12.5526318551,10.5,47
21.0526339495,16,47
12.500000728,9,47
13.333333546,11.5,47
9.5080005549,10,47
8.5365847799,9,47
20.9272742266,18,46
10.0977786501,9,46
25.0000015035,18,46
8.0000000457,10.5,46
6.1904760768,10.5,46
15.8415567548,11.5,44
21.1111100021,15,44
10.3999988595,12,44
22.2878050254,10.5,44
14.5454541999,11.5,44
10.0000003197,11,43
11.467500845,11.5,43
7.8947359603,10.5,43
11.1688309243,12,42
13.8095251392,14.5,42
17.5000016535,11.5,42
16.9367068694,15,41
12.5525001735,11.5,41
12.3750012042,12,40
12.444444871,12,39
16.3636365305,13.5,39
10.0000003197,10.5,39
17.1052635271,11.5,38
13.5000007776,16,38
18.6249998633,10.5,38
14.6666673608,12,38
16.2000007981,15,37
10.1298709307,9,37
12.4675316155,10.5,37
15.0000007486,15,37
8.3333336692,11,37
9.7619038102,10,37
9.8102566033,11.5,36
13.9534885366,12,36
17.9069783156,11.5,36
15.7894719506,18,35
13.333333546,11.5,35
21.4000010315,16,35
15.7500016094,14,34
10.0000003197,10.5,34
7.1111109103,10.5,34
6.9047617333,10.5,34
7.2000000965,10.5,33
8.2769229059,14.5,33
15.0000007486,11.5,33
6.976744255,12,33
9.4999995559,12,32
8.2051290672,10.5,30
13.7500012322,11.5,28
9.5238093305,11.5,28
8.444443763,11.5,25
7.2916665333,10.5,23
6.285714291,9,23
8.4999998585,11.5,22
4.2000002356,11.5,21
7.9545459414,18,47
23.7624998548,14,44
15.7500016094,13.5,43
11.9230775149,12,43
20.4500015799,18,41
20.2127638303,18,41
15.8333327553,18,41
16.0000001219,13.5,40
11.3253025341,11.5,39
18.1818182273,15,37
10.7500007534,12,37
7.0129867585,13,36
11.4285711013,11.5,36
12.6085714901,10.5,35
12.0000002837,16,35
12.7272731963,11.5,34
14.1999986962,16,34
15.3488378719,18,33
9.6666656247,13,32
12.6999987658,11.5,32
12.9870125487,9,32
13.5897440645,14.5,30
